person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,prev_default_flag,high_lpi_low_grade,default,pd_hat,risk_band,exposure,expected_loss
28,56461,5.0,5400,15.68,0.1,6,1,0,0,0.5138177537554848,High,5400,1248.577141625828
30,108000,0.0,4925,10.99,0.05,9,0,0,1,0.04799886954409969,Low,4925,106.37749462711093
29,102000,10.0,18000,9.33,0.18,7,0,0,0,0.03192611231087698,Low,18000,258.60150971810356
29,45000,4.0,10000,12.42,0.22,7,0,0,0,0.08482064153654735,Medium,10000,381.6928869144631
31,30000,4.0,12000,10.39,0.4,9,0,0,1,0.7562478043091807,High,12000,4083.7381432695756
34,113000,6.0,9600,10.99,0.08,5,0,0,0,0.04586592665541097,Low,9600,198.1408031513754
31,73000,4.0,16000,19.41,0.22,7,0,0,1,0.541624860575506,High,16000,3899.698996143643
23,90000,5.0,7500,15.58,0.08,3,1,0,0,0.2640624195542518,High,7500,891.2106659955999
36,135000,0.0,24250,12.87,0.18,15,1,0,0,0.14168516767354944,Medium,24250,1546.1393922376083
36,52000,2.0,8000,7.51,0.15,14,0,0,0,0.03606810801961942,Low,8000,129.8451888706299
35,143485,10.0,8000,10.62,0.06,7,0,0,0,0.03321921200604356,Low,8000,119.58916322175683
43,47840,27.0,15000,12.42,0.31,12,0,0,1,0.5735829903407916,High,15000,3871.6851848003434
22,76000,0.0,14400,14.35,0.19,2,0,0,0,0.19655683242676367,High,14400,1273.6882741254285
26,30000,0.0,15000,13.22,0.5,2,1,0,0,0.8138510001473597,High,15000,5493.494250994678
21,27000,5.0,5000,5.42,0.19,3,0,0,0,0.06753922232484708,Medium,5000,151.9632502309059
39,61000,3.0,14000,16.29,0.23,17,1,0,0,0.4500583384148195,High,14000,2835.367532013363
31,273655,4.0,19600,7.51,0.07,5,0,0,0,0.023760001330190277,Low,19600,209.56321173227823
22,40000,2.0,4000,10.99,0.1,3,0,0,0,0.08650847124456915,Medium,4000,155.71524824022447
24,38000,0.0,12000,11.89,0.32,3,0,0,1,0.7676617552702646,High,12000,4145.373478459429
32,98406,1.0,5400,9.38,0.05,6,0,0,0,0.034718895474315954,Low,5400,84.36691600258777
22,36000,4.0,10000,11.36,0.28,2,0,0,1,0.12480054445058315,Medium,10000,561.6024500276242
28,41000,11.0,4000,18.64,0.1,5,1,0,1,0.5018400722580855,High,4000,903.3121300645538
37,78000,0.0,5600,10.74,0.07,12,0,0,1,0.06957257911938095,Medium,5600,175.32289938083997
36,66000,3.0,10000,6.62,0.15,12,0,0,0,0.030827460264167755,Low,10000,138.72357118875487
29,59354,5.0,9600,13.67,0.14,10,1,0,1,0.15431220003483734,High,9600,666.6287041504972
21,65000,5.0,2200,12.42,0.03,3,0,0,0,0.07423187885310287,Medium,2200,73.48956006457185
24,74000,0.0,4500,12.18,0.06,4,0,0,0,0.0987192648113996,Medium,4500,199.9065112430842
28,50176,3.0,5000,10.59,0.1,7,0,0,0,0.07083663415412166,Medium,5000,159.38242684677374
42,50426,0.0,4200,7.49,0.08,14,0,0,0,0.03414413080989465,Low,4200,64.5324072307009
31,46500,7.0,8000,13.04,0.17,6,1,0,0,0.12601034280377096,Medium,8000,453.6372340935755
31,45000,1.0,14000,13.06,0.31,6,0,0,1,0.6679211571885051,High,14000,4207.903290287582
32,101000,3.0,20000,10.75,0.2,8,0,0,0,0.046989790122303116,Low,20000,422.90811110072804
33,140000,8.0,8000,5.79,0.06,6,0,0,0,0.021351265583524837,Low,8000,76.86455610068943
23,54000,6.0,6000,16.45,0.11,2,0,0,1,0.555590989286417,High,6000,1500.095671073326
27,40000,1.0,5000,11.99,0.13,9,0,0,0,0.08128438087887761,Medium,5000,182.8898569774746
43,76000,4.0,9150,16.29,0.12,16,1,0,0,0.4604911333789796,High,9150,1896.0722416879487
23,55000,1.0,1500,11.49,0.03,3,0,0,0,0.09115542801410455,Medium,1500,61.52991390952057
